id,institution,sex,age,year,cycle,field,income,genai_freq,use_writing,use_summarising,use_brainstorm,use_translation,use_coding,use_explaining,use_questions,use_homework,anx1,anx2,anx3,anx4,anx5,anxiety,se1,se2,se3,se4,se5,se6,se7,se8,selfeff,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,engage,who_i1,who_i2,who_i3,who_i4,who_i5,who5
R0001,UC,M,29,2,BSc,STEM,2,5,0,0,1,0,1,1,1,1,4,4,2,4,2,2.87,5,5,4,7,4,5,6,4,4.65,5,7,4,3,4,3,3,4,3,3.33,3,1,2,2,3,45
R0002,IPP,F,28,2,MSc,Arts,2,4,1,0,0,0,0,0,0,0,7,7,7,5,6,6.88,4,3,5,3,3,3,5,6,4.15,2,4,4,3,1,3,3,3,2,2.23,0,1,0,1,1,23
R0003,IPP,F,19,2,BSc,STEM,4,4,0,1,0,1,0,0,1,1,4,4,3,7,5,4.66,5,5,6,6,7,6,5,7,5.89,3,4,3,5,4,7,4,5,5,4.48,3,3,3,2,5,60
R0004,UC,M,18,2,BSc,SocSci,2,5,1,1,1,0,0,1,0,0,7,6,6,4,4,4.74,5,5,5,7,5,5,5,5,5.63,5,5,6,7,5,7,6,4,6,5.77,4,4,2,3,3,64
R0005,IPV,M,25,1,BSc,STEM,3,5,0,1,0,1,1,1,0,0,6,5,7,4,6,5.23,6,6,7,6,6,5,7,7,6.28,5,4,4,5,5,5,5,6,6,4.72,3,5,3,4,5,74
R0006,UC,M,18,1,BSc,STEM,2,4,1,1,1,1,0,0,0,0,3,2,3,1,3,1.76,7,4,7,6,6,4,5,5,5.16,5,3,4,5,3,3,4,3,3,3.91,3,5,3,2,3,72
R0007,UC,F,19,1,MSc,SocSci,2,5,1,1,1,1,0,0,0,1,5,6,4,3,4,3.73,3,2,4,3,1,3,1,3,2.25,3,3,1,3,3,4,2,4,2,2.7,0,1,3,3,3,39
R0008,UC,M,19,2,BSc,SocSci,2,4,0,1,0,1,1,0,0,0,4,5,4,3,5,4.57,5,5,7,6,5,5,7,5,6.19,6,7,4,4,6,6,6,6,5,5.22,4,2,4,4,4,66
R0009,UC,F,25,1,MSc,Health,4,4,1,1,0,1,1,0,0,0,7,7,7,7,7,7.0,6,5,3,5,4,4,4,7,4.4,3,2,1,2,3,1,3,2,1,2.0,4,2,2,3,2,47
R0010,IPV,F,19,4,MSc,STEM,3,3,1,0,0,0,0,1,0,0,5,5,4,7,5,4.91,5,7,7,5,7,6,7,7,6.78,4,2,5,2,4,1,2,4,5,3.49,5,5,4,3,3,68
R0011,IPC,F,25,2,MSc,STEM,3,4,1,0,1,0,1,1,0,0,6,5,6,4,2,4.86,4,3,5,4,4,4,3,3,3.64,4,3,3,2,4,1,2,1,2,2.78,1,3,2,2,2,39
R0012,UC,F,19,1,MSc,STEM,2,2,0,1,0,0,0,0,0,0,2,4,2,3,1,2.29,6,5,7,5,5,6,6,6,5.02,7,3,5,7,6,6,5,4,6,5.57,5,3,2,2,3,42
R0013,IPV,M,36,2,MSc,STEM,4,5,1,1,0,1,1,1,1,1,7,7,7,7,7,7.0,2,3,3,5,4,3,2,2,3.62,4,4,5,4,3,2,3,4,5,3.67,0,0,0,0,1,3
R0014,UC,F,25,4,BSc,STEM,4,3,0,1,0,0,0,0,0,0,4,4,5,5,4,4.93,7,5,6,6,7,5,7,6,6.41,7,6,7,7,6,6,6,6,6,6.5,4,4,5,3,2,75
R0015,IPP,M,26,2,BSc,SocSci,2,4,1,0,0,0,1,0,1,1,4,4,2,4,4,2.66,6,7,5,7,7,5,7,5,5.56,5,6,7,6,5,6,6,6,6,6.11,3,4,4,2,4,68
R0016,IPP,F,25,2,MSc,STEM,2,4,1,0,0,1,0,1,0,0,4,4,2,3,6,4.75,7,4,6,6,4,5,4,5,4.59,5,5,5,6,3,5,7,5,4,4.96,3,2,1,2,2,48
